Stock,Code
FITB UW Equity,FITB
GILD UW Equity,GILD
HAS UW Equity,HAS
HBAN UW Equity,HBAN
WELL UN Equity,WELL
BIIB UW Equity,BIIB
NTRS UW Equity,NTRS
PKG UN Equity,PKG
PAYX UW Equity,PAYX
QCOM UW Equity,QCOM
ROST UW Equity,ROST
IDXX UW Equity,IDXX
SBUX UW Equity,SBUX
KEY UN Equity,KEY
FOXA UW Equity,FOXA
FOX UW Equity,FOX
STT UN Equity,STT
NCLH UN Equity,NCLH
USB UN Equity,USB
AOS UN Equity,AOS
GEN UW Equity,GEN
TROW UW Equity,TROW
WM UN Equity,WM
STZ UN Equity,STZ
XRAY UW Equity,XRAY
ZION UW Equity,ZION
IVZ UN Equity,IVZ
INTU UW Equity,INTU
MS UN Equity,MS
MCHP UW Equity,MCHP
CB UN Equity,CB
HOLX UW Equity,HOLX
CFG UN Equity,CFG
JBL UN Equity,JBL
ORLY UW Equity,ORLY
ALL UN Equity,ALL
EQR UN Equity,EQR
BWA UN Equity,BWA
KDP UW Equity,KDP
HST UW Equity,HST
INCY UW Equity,INCY
SPG UN Equity,SPG
EMN UN Equity,EMN
AVB UN Equity,AVB
PRU UN Equity,PRU
UPS UN Equity,UPS
WBA UW Equity,WBA
STE UN Equity,STE
MCK UN Equity,MCK
LMT UN Equity,LMT
COR UN Equity,COR
COF UN Equity,COF
WAT UN Equity,WAT
NDSN UW Equity,NDSN
DLTR UW Equity,DLTR
DRI UN Equity,DRI
EVRG UW Equity,EVRG
MTCH UW Equity,MTCH
DPZ UN Equity,DPZ
NVR UN Equity,NVR
NTAP UW Equity,NTAP
ODFL UW Equity,ODFL
DVA UN Equity,DVA
HIG UN Equity,HIG
IRM UN Equity,IRM
EL UN Equity,EL
CDNS UW Equity,CDNS
TYL UN Equity,TYL
UHS UN Equity,UHS
SWKS UW Equity,SWKS
DGX UN Equity,DGX
ROK UN Equity,ROK
KHC UW Equity,KHC
AMT UN Equity,AMT
REGN UW Equity,REGN
AMZN UW Equity,AMZN
JKHY UW Equity,JKHY
RL UN Equity,RL
BXP UN Equity,BXP
APH UN Equity,APH
HWM UN Equity,HWM
PXD UN Equity,PXD
VLO UN Equity,VLO
SNPS UW Equity,SNPS
ETSY UW Equity,ETSY
CHRW UW Equity,CHRW
ACN UN Equity,ACN
TDG UN Equity,TDG
YUM UN Equity,YUM
PLD UN Equity,PLD
FE UN Equity,FE
VRSN UW Equity,VRSN
PWR UN Equity,PWR
HSIC UW Equity,HSIC
AEE UN Equity,AEE
ANSS UW Equity,ANSS
FDS UN Equity,FDS
NVDA UW Equity,NVDA
CTSH UW Equity,CTSH
ISRG UW Equity,ISRG
TTWO UW Equity,TTWO
RSG UN Equity,RSG
EBAY UW Equity,EBAY
GS UN Equity,GS
SBAC UW Equity,SBAC
SRE UN Equity,SRE
MCO UN Equity,MCO
ON UW Equity,ON
BKNG UW Equity,BKNG
FFIV UW Equity,FFIV
AKAM UW Equity,AKAM
CRL UN Equity,CRL
MKTX UW Equity,MKTX
DVN UN Equity,DVN
GOOGL UW Equity,GOOGL
TECH UW Equity,TECH
TFX UN Equity,TFX
ALLE UN Equity,ALLE
NFLX UW Equity,NFLX
WBD UW Equity,WBD
A UN Equity,A
TRMB UW Equity,TRMB
ELV UN Equity,ELV
CME UW Equity,CME
JNPR UN Equity,JNPR
BLK UN Equity,BLK
DTE UN Equity,DTE
CE UN Equity,CE
NDAQ UW Equity,NDAQ
PM UN Equity,PM
IR UN Equity,IR
CRM UN Equity,CRM
ROP UW Equity,ROP
HII UN Equity,HII
MET UN Equity,MET
TPR UN Equity,TPR
CSX UW Equity,CSX
EW UN Equity,EW
AMP UN Equity,AMP
ZBRA UW Equity,ZBRA
ZBH UN Equity,ZBH
CPT UN Equity,CPT
CBRE UN Equity,CBRE
MA UN Equity,MA
KMX UN Equity,KMX
ICE UN Equity,ICE
FIS UN Equity,FIS
CMG UN Equity,CMG
WYNN UW Equity,WYNN
LYV UN Equity,LYV
AIZ UN Equity,AIZ
NRG UN Equity,NRG
MNST UW Equity,MNST
RF UN Equity,RF
BKR UW Equity,BKR
MOS UN Equity,MOS
EXPE UW Equity,EXPE
CF UN Equity,CF
APA UW Equity,APA
LDOS UN Equity,LDOS
GOOG UW Equity,GOOG
FSLR UW Equity,FSLR
TEL UN Equity,TEL
DFS UN Equity,DFS
V UN Equity,V
MAA UN Equity,MAA
XYL UN Equity,XYL
MPC UN Equity,MPC
TSCO UW Equity,TSCO
AMD UW Equity,AMD
RMD UN Equity,RMD
MTD UN Equity,MTD
VICI UN Equity,VICI
CPRT UW Equity,CPRT
J UN Equity,J
ALB UN Equity,ALB
FTNT UW Equity,FTNT
MRNA UW Equity,MRNA
ESS UN Equity,ESS
CSGP UW Equity,CSGP
O UN Equity,O
WRK UN Equity,WRK
WAB UN Equity,WAB
POOL UW Equity,POOL
WDC UW Equity,WDC
PEP UW Equity,PEP
FANG UW Equity,FANG
PANW UW Equity,PANW
NOW UN Equity,NOW
CHD UN Equity,CHD
FRT UN Equity,FRT
MGM UN Equity,MGM
AEP UW Equity,AEP
INVH UN Equity,INVH
PTC UW Equity,PTC
JBHT UW Equity,JBHT
LRCX UW Equity,LRCX
MHK UN Equity,MHK
GEHC UW Equity,GEHC
PNR UN Equity,PNR
VRTX UW Equity,VRTX
AMCR UN Equity,AMCR
META UW Equity,META
TMUS UW Equity,TMUS
URI UN Equity,URI
ARE UN Equity,ARE
HON UW Equity,HON
DAL UN Equity,DAL
UAL UW Equity,UAL
STX UW Equity,STX
NWS UW Equity,NWS
CNC UN Equity,CNC
MLM UN Equity,MLM
TER UW Equity,TER
PYPL UW Equity,PYPL
TSLA UW Equity,TSLA
ACGL UW Equity,ACGL
DOW UN Equity,DOW
EG UN Equity,EG
TDY UN Equity,TDY
NWSA UW Equity,NWSA
EXC UW Equity,EXC
GPN UN Equity,GPN
CCI UN Equity,CCI
APTV UN Equity,APTV
ALGN UW Equity,ALGN
ILMN UW Equity,ILMN
KVUE UN Equity,KVUE
TRGP UN Equity,TRGP
BG UN Equity,BG
LKQ UW Equity,LKQ
ZTS UN Equity,ZTS
EQIX UW Equity,EQIX
DLR UN Equity,DLR
MOH UN Equity,MOH
LVS UN Equity,LVS
