Stock,Code
LYB UN Equity,LYB
AXP UN Equity,AXP
VZ UN Equity,VZ
AVGO UW Equity,AVGO
BA UN Equity,BA
CAT UN Equity,CAT
JPM UN Equity,JPM
CVX UN Equity,CVX
KO UN Equity,KO
ABBV UN Equity,ABBV
DIS UN Equity,DIS
FLT UN Equity,FLT
EXR UN Equity,EXR
XOM UN Equity,XOM
PSX UN Equity,PSX
GE UN Equity,GE
HPQ UN Equity,HPQ
HD UN Equity,HD
MPWR UW Equity,MPWR
IBM UN Equity,IBM
JNJ UN Equity,JNJ
LULU UW Equity,LULU
MCD UN Equity,MCD
MRK UN Equity,MRK
MMM UN Equity,MMM
AWK UN Equity,AWK
BAC UN Equity,BAC
PFE UN Equity,PFE
PG UN Equity,PG
T UN Equity,T
TRV UN Equity,TRV
RTX UN Equity,RTX
ADI UW Equity,ADI
WMT UN Equity,WMT
CSCO UW Equity,CSCO
INTC UW Equity,INTC
GM UN Equity,GM
MSFT UW Equity,MSFT
DG UN Equity,DG
CI UN Equity,CI
KMI UN Equity,KMI
C UN Equity,C
AIG UN Equity,AIG
MO UN Equity,MO
HCA UN Equity,HCA
IP UN Equity,IP
HPE UN Equity,HPE
ABT UN Equity,ABT
AFL UN Equity,AFL
APD UN Equity,APD
RCL UN Equity,RCL
HES UN Equity,HES
ADM UN Equity,ADM
ADP UW Equity,ADP
VRSK UW Equity,VRSK
AZO UN Equity,AZO
LIN UW Equity,LIN
AVY UN Equity,AVY
ENPH UQ Equity,ENPH
MSCI UN Equity,MSCI
BALL UN Equity,BALL
AXON UW Equity,AXON
DAY UN Equity,DAY
CARR UN Equity,CARR
BK UN Equity,BK
OTIS UN Equity,OTIS
BAX UN Equity,BAX
BDX UN Equity,BDX
BRK/B UN Equity,BRK-B
BBY UN Equity,BBY
BSX UN Equity,BSX
BMY UN Equity,BMY
BF/B UN Equity,BF-B
CTRA UN Equity,CTRA
CPB UN Equity,CPB
HLT UN Equity,HLT
CCL UN Equity,CCL
QRVO UW Equity,QRVO
BLDR UN Equity,BLDR
UDR UN Equity,UDR
CLX UN Equity,CLX
PAYC UN Equity,PAYC
CMS UN Equity,CMS
CL UN Equity,CL
EPAM UN Equity,EPAM
CMA UN Equity,CMA
CAG UN Equity,CAG
ABNB UW Equity,ABNB
ED UN Equity,ED
GLW UN Equity,GLW
CMI UN Equity,CMI
CZR UW Equity,CZR
DHR UN Equity,DHR
TGT UN Equity,TGT
DE UN Equity,DE
D UN Equity,D
DOV UN Equity,DOV
LNT UW Equity,LNT
STLD UW Equity,STLD
DUK UN Equity,DUK
REG UW Equity,REG
ETN UN Equity,ETN
ECL UN Equity,ECL
RVTY UN Equity,RVTY
EMR UN Equity,EMR
EOG UN Equity,EOG
AON UN Equity,AON
ETR UN Equity,ETR
EFX UN Equity,EFX
EQT UN Equity,EQT
IQV UN Equity,IQV
IT UN Equity,IT
FDX UN Equity,FDX
FMC UN Equity,FMC
BRO UN Equity,BRO
F UN Equity,F
NEE UN Equity,NEE
BEN UN Equity,BEN
GRMN UN Equity,GRMN
FCX UN Equity,FCX
DXCM UW Equity,DXCM
GD UN Equity,GD
GIS UN Equity,GIS
GPC UN Equity,GPC
ATO UN Equity,ATO
GWW UN Equity,GWW
HAL UN Equity,HAL
DOC US Equity,DOC
LHX UN Equity,LHX
PODD UW Equity,PODD
CTLT UN Equity,CTLT
FTV UN Equity,FTV
HSY UN Equity,HSY
SYF UN Equity,SYF
HRL UN Equity,HRL
AJG UN Equity,AJG
MDLZ UW Equity,MDLZ
CNP UN Equity,CNP
HUM UN Equity,HUM
WTW UW Equity,WTW
ITW UN Equity,ITW
CDW UW Equity,CDW
TT UN Equity,TT
IPG UN Equity,IPG
IFF UN Equity,IFF
GNRC UN Equity,GNRC
NXPI UW Equity,NXPI
K UN Equity,K
BR UN Equity,BR
KMB UN Equity,KMB
KIM UN Equity,KIM
ORCL UN Equity,ORCL
KR UN Equity,KR
LEN UN Equity,LEN
LLY UN Equity,LLY
BBWI UN Equity,BBWI
CHTR UW Equity,CHTR
L UN Equity,L
LOW UN Equity,LOW
HUBB UN Equity,HUBB
IEX UN Equity,IEX
MMC UN Equity,MMC
MAS UN Equity,MAS
SPGI UN Equity,SPGI
MDT UN Equity,MDT
VTRS UW Equity,VTRS
CVS UN Equity,CVS
DD UN Equity,DD
MU UW Equity,MU
MSI UN Equity,MSI
CBOE UF Equity,CBOE
LH UN Equity,LH
NEM UN Equity,NEM
NKE UN Equity,NKE
NI UN Equity,NI
NSC UN Equity,NSC
PFG UW Equity,PFG
ES UN Equity,ES
NOC UN Equity,NOC
WFC UN Equity,WFC
NUE UN Equity,NUE
OXY UN Equity,OXY
OMC UN Equity,OMC
OKE UN Equity,OKE
RJF UN Equity,RJF
PCG UN Equity,PCG
PH UN Equity,PH
ROL UN Equity,ROL
PPL UN Equity,PPL
COP UN Equity,COP
PHM UN Equity,PHM
PNW UN Equity,PNW
PNC UN Equity,PNC
PPG UN Equity,PPG
PGR UN Equity,PGR
VLTO UN Equity,VLTO
PEG UN Equity,PEG
RHI UN Equity,RHI
COO UW Equity,COO
EIX UN Equity,EIX
SLB UN Equity,SLB
SCHW UN Equity,SCHW
SHW UN Equity,SHW
WST UN Equity,WST
SJM UN Equity,SJM
SNA UN Equity,SNA
AME UN Equity,AME
UBER UN Equity,UBER
SO UN Equity,SO
TFC UN Equity,TFC
LUV UN Equity,LUV
WRB UN Equity,WRB
SWK UN Equity,SWK
PSA UN Equity,PSA
ANET UN Equity,ANET
SYY UN Equity,SYY
CTVA UN Equity,CTVA
TXN UW Equity,TXN
TXT UN Equity,TXT
TMO UN Equity,TMO
TJX UN Equity,TJX
GL UN Equity,GL
JCI UN Equity,JCI
ULTA UW Equity,ULTA
UNP UN Equity,UNP
KEYS UN Equity,KEYS
UNH UN Equity,UNH
BX UN Equity,BX
MRO UN Equity,MRO
BIO UN Equity,BIO
VTR UN Equity,VTR
VFC UN Equity,VFC
VMC UN Equity,VMC
WY UN Equity,WY
WHR UN Equity,WHR
WMB UN Equity,WMB
CEG UW Equity,CEG
WEC UN Equity,WEC
ADBE UW Equity,ADBE
AES UN Equity,AES
EXPD UN Equity,EXPD
AMGN UW Equity,AMGN
AAPL UW Equity,AAPL
ADSK UW Equity,ADSK
CTAS UW Equity,CTAS
CMCSA UW Equity,CMCSA
TAP UN Equity,TAP
KLAC UW Equity,KLAC
MAR UW Equity,MAR
FI UN Equity,FI
MKC UN Equity,MKC
PCAR UW Equity,PCAR
COST UW Equity,COST
SYK UN Equity,SYK
TSN UN Equity,TSN
LW UN Equity,LW
AMAT UW Equity,AMAT
AAL UW Equity,AAL
CAH UN Equity,CAH
CINF UW Equity,CINF
PARA UW Equity,PARA
DHI UN Equity,DHI
EA UW Equity,EA
FICO UN Equity,FICO
FAST UW Equity,FAST
MTB UN Equity,MTB
XEL UW Equity,XEL
