,Start Date,End Date,a,b,Spread Return,Position,Correlation,Hurst Exponent,ADF t-statistic,ADF p-value,mu,theta,sigma2
0,2015-01-07,2015-03-02,79,52,0.2030992104192097,1,0.7177647742149089,0.3389883088063745,-3.8034633738350716,0.0028720782559090554,0.29658734746902093,19.737685689173112,0.017952684259103374
1,2015-03-04,2015-06-03,466,338,0.17523078769553022,-1,0.7202411061807403,0.36136840426873,-3.537325393689351,0.007078675085266685,0.30671864508967267,26.422630600089317,0.02418253956868138
2,2015-06-05,2016-04-13,444,284,0.13952381308255526,1,0.7938715311460458,0.2624633578587574,-4.271770529275649,0.0004969600929400151,0.2201743579150124,45.43603072282166,0.013086196406537444
3,2016-04-18,2016-06-27,396,52,0.2286163157975603,-1,0.8068124133429003,0.22444541782922772,-3.9964141290174373,0.0014294047576390244,0.25968526144801163,35.64939513304516,0.025956611193990422
4,2016-06-28,2016-09-01,70,352,0.19841758619323743,-1,0.7109634420057519,0.237665594274079,-3.5261846279617943,0.00733953822510555,0.2610132218260469,27.46491762695202,0.023673049064082685
5,2016-09-15,2016-09-26,258,58,0.19907746891197742,1,0.7948732234635156,0.25417837711136104,-3.6861660114181545,0.004312003421519814,0.19867423799705242,37.22244225372186,0.014429391617980585
6,2016-09-28,2016-11-07,80,316,0.3021683822508904,1,0.7068273775261261,0.3519170449571085,-3.8267742355165306,0.002644956743834132,0.4190246965523483,26.133749611478926,0.047402362346662896
7,2016-11-08,2018-12-28,332,347,-0.6145681083303647,-1,0.836831153685444,0.26694849256565706,-3.9373294256672327,0.0017766679521292053,0.1267714692146501,32.07912462388584,0.011732243966880813
8,2015-01-13,2015-02-26,79,303,0.20551498873257415,1,0.7089845650792994,0.32661091540936643,-3.7291091637627076,0.0037218474028993197,0.25462613932687306,29.06651852499011,0.019959427380512467
9,2015-03-10,2015-04-15,199,332,0.14654595750084803,1,0.7750676411183377,0.28351200168949764,-3.8375920175345746,0.0025452868550356433,0.2982493722139682,32.041312764297636,0.014916009734028544
10,2015-04-30,2015-08-07,125,291,0.17933383888133192,-1,0.7257667664733827,0.20889692101302604,-4.590799202061544,0.00013430862067277875,0.27388145445634743,41.4241509231712,0.02452099931282762
11,2015-08-12,2016-06-30,160,63,0.07941620627046296,1,0.7257695207899542,0.23760610338129418,-4.33309966082683,0.0003891006746590447,0.5503335249028127,32.50237664061576,0.016369454914006567
12,2016-07-06,2016-07-26,70,357,0.1373771649084192,-1,0.7262169066525469,0.23039400379276123,-3.79319465901901,0.002977715039528453,0.37988693416168506,32.91871954277345,0.02352420303582586
13,2016-07-28,2016-11-10,166,303,0.424614768471112,1,0.7116843306169152,0.3939871645577229,-3.721418381369065,0.0038217755362043343,0.2185631346922806,27.236611447978678,0.03281957404610899
14,2016-11-11,2018-12-28,132,406,-0.7291108895432163,-1,0.7234071875196841,0.2794955473004602,-3.747257413190455,0.003495460274077841,0.35982282061908155,29.93008022229559,0.028961667219706524
15,2015-01-27,2015-02-26,12,277,0.14454622163750425,1,0.7079976714493971,0.34847590934516154,-4.049961713975817,0.001170346897728809,0.380721086925077,25.499991092301528,0.02020125223271874
16,2015-03-16,2015-08-06,258,347,0.1999053096250819,1,0.909246472204524,0.27947641197700657,-3.922197307261422,0.0018774263336486959,0.15475713706307598,34.19473746381918,0.006539182043142269
17,2015-08-17,2015-08-31,199,297,0.144521334995644,-1,0.8239902828432508,0.2907754570680915,-4.412158823458799,0.00028246578576692876,0.19975471554271518,43.29077491589138,0.011303674829835922
18,2015-09-10,2018-12-28,199,242,-0.7248481933484099,1,0.7173321483324828,0.3198556597529769,-3.7094332276096775,0.003982406994274318,0.25022343619333437,19.854333730131,0.017900085626151918
19,2015-01-30,2018-12-28,103,347,,1,0.8093966027119313,0.3599465835211154,-3.58739202037748,0.006006690688126842,0.3295002528934891,25.052287783434508,0.00919218468747282
20,2015-02-06,2016-07-06,103,318,0.1498953522103761,1,0.8368732153077467,0.36572440337127116,-3.4302385709294185,0.009970231971987974,0.29012505774290875,17.032600529295582,0.00877562672362199
21,2016-07-07,2018-12-28,361,464,-2.1673903591943837,1,0.8561156507097546,0.2789510187742174,-3.5754675978519423,0.0062477308762666885,0.25871363509364254,27.989126753774627,0.02125287691240965
22,2015-02-18,2015-03-03,58,354,0.16036228702267583,-1,0.7259830861980914,0.29005076621500375,-3.6546526756815103,0.004798154464592958,0.2627238881323482,29.441995428851342,0.016536265901812404
23,2015-03-24,2015-12-21,89,263,0.08592797104093015,1,0.7020441288311616,0.27522851249402475,-3.7251503137874384,0.003772982806330251,0.4375571659793003,26.814930278777414,0.010212883840635406
24,2016-01-04,2016-02-19,309,120,0.24314578823840158,1,0.7203221090753309,0.3045498260077361,-5.6055159144657525,1.2368328852343373e-06,0.1954006388736013,25.047322041485263,0.013733609091064834
25,2016-02-26,2018-12-28,295,137,-0.769794332778478,-1,0.70990791337657,0.4308905730853469,-3.5205133246283853,0.007475634816754597,0.45959393437173585,19.026660699785666,0.015050049796019297
26,2015-03-30,2015-04-16,454,284,0.15211016450250983,-1,0.7714254067816825,0.3442753961940796,-3.545297443517037,0.006897175809894728,0.2753694910944718,30.776703312869806,0.012598066816020175
27,2015-05-04,2015-09-21,454,319,0.21597042472789443,1,0.7725459126561564,0.4761710771837563,-3.5963298516168702,0.00583158200433491,0.24757886512626334,18.649497979003044,0.012659216447764507
28,2015-09-28,2015-11-24,120,154,0.21739941971600235,1,0.7582559307258798,0.28156523946451073,-3.6191342089138714,0.005405584656625819,0.21967070513477027,29.774231765721037,0.017130645628906763
