Symbol
MSFT
AAPL
NVDA
GOOGL
GOOG
AMZN
META
BRK-B
LLY
AVGO
TSLA
V
JPM
XOM
WMT
UNH
MA
PG
JNJ
HD
COST
MRK
ORCL
CVX
BAC
ABBV
KO
CRM
NFLX
AMD
PEP
TMO
ADBE
WFC
DIS
LIN
QCOM
MCD
TMUS
ACN
CSCO
ABT
DHR
GE
INTU
AMAT
AMGN
AXP
CAT
VZ
TXN
PFE
MS
IBM
CMCSA
PM
NOW
UNP
NEE
BX
COP
GS
NKE
SCHW
ISRG
RTX
SPGI
LOW
INTC
ETN
HON
MU
SYK
UPS
ELV
PGR
BKNG
T
LRCX
C
BLK
DE
LMT
BA
MDT
TJX
BSX
REGN
VRTX
CB
ADP
ADI
MMC
PLD
CI
PANW
KLAC
MDLZ
BMY
FI
CMG
AMT
WM
SO
SBUX
SNPS
GILD
HCA
GD
SHW
DUK
CDNS
ZTS
CL
MO
ICE
CME
EOG
APH
TGT
ITW
FCX
TT
TDG
CVS
MCK
MCO
NOC
PH
CTAS
SLB
BDX
MAR
EQIX
CSX
NXPI
ECL
USB
MPC
FDX
PNC
EMR
PSX
AON
ORLY
MSI
RSG
MNST
WELL
OXY
ROP
PCAR
APD
COF
MMM
SPG
NSC
CPRT
AJG
AIG
TFC
VLO
EW
GM
AZO
DXCM
MET
HLT
F
MCHP
TRV
HES
DHI
EL
O
AFL
WMB
DLR
NEM
STZ
PSA
AEP
SRE
ADSK
PCG
KDP
SMCI
KMB
GWW
OKE
FTNT
URI
LULU
COR
ALL
ROST
LEN
TEL
PAYX
D
BK
CCI
JCI
AMP
NUE
KMI
A
IQV
PRU
ODFL
LHX
HSY
CNC
FIS
IDXX
KR
GIS
FAST
HUM
AME
CMI
CHTR
YUM
SYY
PWR
EXC
CSGP
MSCI
MLM
FANG
RCL
ACGL
NDAQ
PEG
VMC
LVS
EA
MPWR
VRSK
IT
XYL
DAL
ED
CTSH
HAL
DD
LYB
BKR
DVN
GRMN
RMD
BIIB
ROK
DFS
PPG
EXR
ON
DG
XEL
CDW
FICO
ADM
TSCO
HIG
GLW
WAB
GPN
EFX
ANSS
EIX
HPQ
AVB
MTD
WST
CBRE
DLTR
WEC
RJF
CHD
WTW
FITB
EBAY
AWK
ZBH
EQR
TTWO
TRGP
TROW
DOV
PHM
MTB
CAH
AXON
NVR
BLDR
BRO
BR
DTE
WDC
ETR
BF-B
WY
FE
STT
ROL
TSN
IFF
IRM
APTV
GPC
LYV
ALGN
DECK
NTAP
BALL
STLD
CPAY
CTRA
ES
ARE
WRB
PTC
SBAC
PPL
K
STE
FSLR
HUBB
MKC
HBAN
TYL
MOH
AEE
WBD
HRL
ULTA
LDOS
WAT
PFG
VTR
CCL
CBOE
CNP
BAX
ILMN
J
TER
CMS
STX
CINF
TDY
RF
OMC
COO
ATO
DPZ
HOLX
AVY
DRI
EQT
CE
NTRS
CLX
JBHT
UAL
LH
L
VRSN
IEX
ESS
NRG
FDS
TXT
EXPD
BBY
EG
MAA
ZBRA
PKG
LUV
ENPH
WBA
MAS
EXPE
AKAM
DGX
NDSN
ALB
MRO
SWKS
CAG
AMCR
UDR
BG
SNA
JBL
KEY
NWS
NWSA
VTRS
EPAM
POOL
TRMB
CF
CPB
DOC
HST
AES
PNR
SWK
LNT
KIM
MGM
NI
GEN
IP
EVRG
RVTY
AOS
BEN
TAP
PODD
TECH
INCY
CRL
SJM
JKHY
DVA
LKQ
IPG
EMN
CPT
JNPR
UHS
REG
APA
WYNN
KMX
ALLE
RL
BBWI
FFIV
HII
TFX
BXP
CHRW
MOS
AIZ
AAL
TPR
PARA
HSIC
PNW
HAS
FRT
MTCH
BWA
GNRC
BIO
FMC
MKTX
MHK
RHI
GL
CMA
NCLH
IVZ
