,Date,Spread Return,Position,Correlation,Hurst Exponent,ADF t-statistic,ADF p-value,mu,theta,sigma2
0,2015-03-02,0.2138551146900486,1,0.719770980201687,0.30551340389599263,-3.8956401255529367,0.002067168707459213,0.3029009100038032,21.542140005627267,0.01872634070213192
1,2015-04-30,0.35734807245505507,-1,0.7952024933170464,0.33152378557149653,-3.7948922380614256,0.0029600085399881025,0.12714842921187725,27.725469408434492,0.014876522372828348
2,2015-08-06,0.20930082277394388,-1,0.7331980619532249,0.25920581119593383,-3.452068741861008,0.009306853917532332,0.2718134536779334,30.466944211358456,0.020985262384682596
3,2015-09-17,0.16036802246757823,-1,0.8323525760727579,0.27860193083352297,-4.25293456219299,0.0005353838967789896,0.21041136469704794,40.968222468357034,0.011064590597160352
4,2015-10-21,0.1930824836900518,-1,0.8191122652279207,0.1892475112798805,-4.1941710399001915,0.0006740310421645273,0.24871159584798752,62.88750236620252,0.0072902085925014536
5,2018-12-28,,1,0.8736207256461146,0.3336537810699656,-3.845535211576013,0.002474321214540513,0.2055294858361947,32.49211358483023,0.007919452240639887
6,2015-03-02,0.1981092033481179,1,0.7173719131940528,0.33802294651466563,-3.762627830321711,0.0033136793989163426,0.29797483646934797,19.08567059506281,0.017946612102635467
7,2015-05-05,0.35348135366140093,-1,0.8007307380970552,0.3092210631264289,-3.897667540451397,0.0020520799385296907,0.11830042993330711,29.04594628486198,0.014740359816913674
8,2015-07-07,0.17102287857386303,1,0.7570996525565363,0.27121977386710744,-3.844790058637018,0.002480900049731309,0.30142058148555384,27.990029165657955,0.017870005167818743
9,2015-08-24,0.08608128871904533,-1,0.7882741647991339,0.3611938541362724,-3.450291447693628,0.00935934592154074,0.40319386280424263,27.815776335420985,0.006742447225764676
10,2015-10-21,0.1930824836900518,-1,0.8191122652279207,0.1892475112798805,-4.1941710399001915,0.0006740310421645273,0.24871159584798752,62.88750236620252,0.0072902085925014536
11,2018-12-28,-0.5279282590492168,-1,0.7769285920054669,0.292637373548222,-5.03803017322929,1.8651848319950363e-05,0.5550185948628151,35.67859273034126,0.013769513053331182
12,2015-03-10,0.22069547380328225,-1,0.7148357422592378,0.23917019537581,-3.849958297011423,0.002435600886636291,0.35258687708425146,33.49248862304585,0.017597809328804975
13,2015-04-30,0.35734807245505507,-1,0.7952024933170464,0.33152378557149653,-3.7948922380614256,0.0029600085399881025,0.12714842921187725,27.725469408434492,0.014876522372828348
14,2015-08-06,0.1437820877675786,-1,0.7375113722272186,0.2409143264868206,-4.122285633564108,0.0008895579744266965,0.28242995248457103,37.77146604905136,0.02232303437362097
15,2015-09-18,0.19085788639134157,-1,0.8314244976975276,0.2832105574365785,-4.057438707258049,0.0011378780197002158,0.20815481024673516,38.39674143719644,0.010739984863046878
16,2015-10-21,0.1930824836900518,-1,0.8191122652279207,0.1892475112798805,-4.1941710399001915,0.0006740310421645273,0.24871159584798752,62.88750236620252,0.0072902085925014536
17,2018-12-28,,1,0.8736207256461146,0.3336537810699656,-3.845535211576013,0.002474321214540513,0.2055294858361947,32.49211358483023,0.007919452240639887
18,2015-03-10,0.22069547380328225,-1,0.7148357422592378,0.23917019537581,-3.849958297011423,0.002435600886636291,0.35258687708425146,33.49248862304585,0.017597809328804975
19,2018-12-28,-1.399002668843902,-1,0.8127155315548246,0.2802069964593967,-3.585317423548536,0.006048011367423012,0.19874012888566525,23.248096666518702,0.0125135934181377
20,2015-03-10,0.22069547380328225,-1,0.7148357422592378,0.23917019537581,-3.849958297011423,0.002435600886636291,0.35258687708425146,33.49248862304585,0.017597809328804975
21,2015-12-17,0.08179636149672423,1,0.710001632577273,0.2651669041483059,-4.4250587131400865,0.00026794537960505313,0.4398399148780071,33.77880090022645,0.010386769331144156
22,2016-01-25,0.0729352589411245,-1,0.7159888205400634,0.189239671466852,-3.9142505209997065,0.0019324385667543267,0.4730567454291022,52.192596103001556,0.008137670327707297
23,2016-03-16,0.34446497981296675,1,0.8424599810174035,0.2015009268641018,-4.222795673192735,0.000602740277762909,0.23861771102968146,33.685003758043855,0.02042053056745498
24,2018-12-28,-0.4241381847995861,1,0.8392095142405068,0.25877373784357527,-4.83033313659218,4.756686125152856e-05,0.36835635435626,50.94814695727746,0.015218847725098994
25,2015-03-10,0.22069547380328225,-1,0.7148357422592378,0.23917019537581,-3.849958297011423,0.002435600886636291,0.35258687708425146,33.49248862304585,0.017597809328804975
26,2015-05-05,0.35348135366140093,-1,0.8007307380970552,0.3092210631264289,-3.897667540451397,0.0020520799385296907,0.11830042993330711,29.04594628486198,0.014740359816913674
27,2015-08-24,0.11819920587829928,-1,0.7135240981013852,0.3384870170795833,-3.6053603119151583,0.005659373124322856,0.5949456484228189,29.850653242765596,0.009432976916488651
28,2015-10-21,0.1930824836900518,-1,0.8191122652279207,0.1892475112798805,-4.1941710399001915,0.0006740310421645273,0.24871159584798752,62.88750236620252,0.0072902085925014536
29,2017-05-24,0.15279454321179958,1,0.7962677575753275,0.3297333208565997,-4.101698927197907,0.0009622808094693794,0.3202990187464696,29.408301364329393,0.01975096925690537
30,2018-12-28,-0.2159650114955106,-1,0.8724262358009804,0.34304601263281403,-3.4513870106438773,0.009326957455569121,0.43931774852076544,22.569131110072306,0.012139079732127848
31,2015-03-10,0.22069547380328225,-1,0.7148357422592378,0.23917019537581,-3.849958297011423,0.002435600886636291,0.35258687708425146,33.49248862304585,0.017597809328804975
32,2015-04-30,0.35734807245505507,-1,0.7952024933170464,0.33152378557149653,-3.7948922380614256,0.0029600085399881025,0.12714842921187725,27.725469408434492,0.014876522372828348
33,2015-07-07,0.17102287857386303,1,0.7570996525565363,0.27121977386710744,-3.844790058637018,0.002480900049731309,0.30142058148555384,27.990029165657955,0.017870005167818743
34,2015-08-24,0.08608128871904533,-1,0.7882741647991339,0.3611938541362724,-3.450291447693628,0.00935934592154074,0.40319386280424263,27.815776335420985,0.006742447225764676
35,2015-10-16,0.08530626337215264,1,0.7403281842398107,0.17203671563776882,-3.6290091982397783,0.005230047488747992,0.4793543066520455,47.65406267647461,0.009539464070720783
36,2018-12-28,-0.6668704998335168,-1,0.7366919873075428,0.36052156604953384,-3.487817572116255,0.008305532534381902,0.5347833806693809,23.642451837397576,0.014733451910023187
37,2015-03-02,0.22051478134467595,1,0.720028293096255,0.3119537388935787,-4.093362810374797,0.0009932819439465081,0.3008991084659155,23.98335261531303,0.017948999683831183
